iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	O2 	O 	OH 	H2O 	H 	HO2 	H2O2 	
9 	 1.0000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999989e+02 	2.7431213548e-01 	7.2568786407e-01 	1.5536309472e-12 	4.2538915848e-13 	2.8367519397e-11 	3.6377438788e-12 	4.1987382817e-10 	2.4525041613e-13 	
9 	 1.0000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000007e+02 	5.9266659083e-02 	9.4073334047e-01 	3.6273370199e-12 	9.9440487762e-13 	4.2736953718e-11 	1.4187114715e-12 	3.9506672090e-10 	1.3491019634e-13 	
9 	 1.0000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999996e+02 	1.4383656937e-01 	8.5616343010e-01 	2.4478194177e-12 	6.6809377269e-13 	4.1029767259e-11 	2.5256306177e-12 	4.7815444601e-10 	2.3690272220e-13 	
10 	 1.1000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999990e+02 	2.7431213548e-01 	7.2568786401e-01 	1.6257765466e-12 	4.4406076902e-13 	3.3272101070e-11 	3.7827436001e-12 	4.7298538283e-10 	3.0361244486e-13 	
10 	 1.1000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000011e+02 	5.9266659081e-02 	9.4073334042e-01 	3.7273728850e-12 	1.0182599609e-12 	4.9359400643e-11 	1.4450141238e-12 	4.4320295580e-10 	1.6687891393e-13 	
10 	 1.1000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999998e+02 	1.4383656937e-01 	8.5616343004e-01 	2.5185552616e-12 	6.8575820726e-13 	4.7509462056e-11 	2.5826643620e-12 	5.3708617743e-10 	2.9321566687e-13 	
11 	 1.2000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999990e+02 	2.7431213548e-01 	7.2568786395e-01 	1.6879661933e-12 	4.6015682754e-13 	3.8372343074e-11 	3.9077559604e-12 	5.2713045120e-10 	3.6898759581e-13 	
11 	 1.2000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000015e+02 	5.9266659078e-02 	9.4073334037e-01 	3.8062666858e-12 	1.0370786857e-12 	5.6121537788e-11 	1.4657767058e-12 	4.9182014842e-10 	2.0253839904e-13 	
11 	 1.2000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000000e+02 	1.4383656937e-01 	8.5616342997e-01 	2.5750274178e-12 	6.9986390251e-13 	5.4140495309e-11 	2.6282278041e-12 	5.9670020646e-10 	3.5610562610e-13 	
12 	 1.3000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999991e+02 	2.7431213547e-01 	7.2568786389e-01 	1.7415862353e-12 	4.7403598325e-13 	4.3641275642e-11 	4.0155642665e-12 	5.8216561885e-10 	4.4150120715e-13 	
12 	 1.3000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000019e+02 	5.9266659076e-02 	9.4073334031e-01 	3.8685227021e-12 	1.0519343031e-12 	6.2993907312e-11 	1.4821802795e-12 	5.4081636039e-10 	2.4192125590e-13 	
12 	 1.3000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000002e+02 	1.4383656937e-01 	8.5616342991e-01 	2.6201433468e-12 	7.1113629359e-13 	6.0892419905e-11 	2.6646592599e-12 	6.5685818126e-10 	4.2564018822e-13 	
13 	 1.4000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999992e+02 	2.7431213547e-01 	7.2568786384e-01 	1.7878300049e-12 	4.8600694808e-13 	4.9055684622e-11 	4.1085642395e-12 	6.3796744221e-10 	5.2126119682e-13 	
13 	 1.4000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000023e+02 	5.9266659074e-02 	9.4073334026e-01 	3.9176863968e-12 	1.0636714225e-12 	6.9953329141e-11 	1.4951539697e-12 	5.9011138305e-10 	2.8505317353e-13 	
13 	 1.4000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000005e+02 	1.4383656936e-01 	8.5616342984e-01 	2.6562180012e-12 	7.2015295829e-13 	6.7740995372e-11 	2.6938203417e-12 	7.1744995389e-10 	5.0187321214e-13 	
14 	 1.5000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999993e+02 	2.7431213547e-01 	7.2568786378e-01 	1.8277246693e-12 	4.9633544654e-13 	5.4595588528e-11 	4.1888179907e-12 	6.9442966759e-10 	6.0836048834e-13 	
14 	 1.5000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000028e+02 	5.9266659072e-02 	9.4073334020e-01 	3.9565479553e-12 	1.0729546739e-12 	7.6981563382e-11 	1.5054288128e-12 	6.3964210362e-10 	3.3195439963e-13 	
14 	 1.5000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000007e+02 	1.4383656936e-01 	8.5616342978e-01 	2.6850944729e-12 	7.2737374005e-13 	7.4666922775e-11 	2.7171931579e-12 	7.7838783064e-10 	5.8484762610e-13 	
15 	 1.6000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999994e+02 	2.7431213547e-01 	7.2568786371e-01 	1.8621543629e-12 	5.0525020087e-13 	6.0243788400e-11 	4.2581004788e-12 	7.5146083744e-10 	7.0287909878e-13 	
15 	 1.6000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000032e+02 	5.9266659069e-02 	9.4073334015e-01 	3.9873030084e-12 	1.0803070461e-12 	8.4064257552e-11 	1.5135800207e-12 	6.8935886076e-10 	3.8264090034e-13 	
15 	 1.6000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000010e+02 	1.4383656936e-01 	8.5616342971e-01 	2.7082401464e-12 	7.3316474361e-13 	8.1654837397e-11 	2.7359576827e-12 	8.3960199458e-10 	6.7459765590e-13 	
16 	 1.7000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999995e+02 	2.7431213546e-01 	7.2568786365e-01 	1.8918801033e-12 	5.1294808345e-13 	6.5985480329e-11 	4.3179394962e-12 	8.0898222993e-10 	8.0488593599e-13 	
16 	 1.7000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000037e+02 	5.9266659067e-02 	9.4073334010e-01 	4.0116792723e-12 	1.0861400676e-12 	9.1190118101e-11 	1.5200602065e-12 	7.3922257751e-10 	4.3712527270e-13 	
16 	 1.7000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000012e+02 	1.4383656936e-01 	8.5616342965e-01 	2.7268232791e-12 	7.3781744270e-13 	8.8692506753e-11 	2.7510533486e-12 	9.0103686136e-10 	7.7115059890e-13 	
17 	 1.8000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999996e+02 	2.7431213546e-01 	7.2568786359e-01 	1.9175569352e-12 	5.1959855191e-13 	7.1807921943e-11 	4.3696500877e-12 	8.6692608555e-10 	9.1444034561e-13 	
17 	 1.8000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000041e+02 	5.9266659065e-02 	9.4073334004e-01 	4.0310362511e-12 	1.0907775603e-12 	9.8350258485e-11 	1.5252255172e-12 	7.8920250532e-10 	4.9541746268e-13 	
17 	 1.8000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000015e+02 	1.4383656935e-01 	8.5616342958e-01 	2.7417739764e-12 	7.4156389346e-13 	9.5770192073e-11 	2.7632280817e-12 	9.6264817779e-10 	8.7452823636e-13 	
18 	 1.9000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999997e+02 	2.7431213546e-01 	7.2568786353e-01 	1.9397486872e-12 	5.2534746664e-13 	7.7700145339e-11 	4.4143641758e-12 	9.2523408052e-10 	1.0315934425e-12 	
18 	 1.9000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000046e+02 	5.9266659062e-02 	9.4073333999e-01 	4.0464437051e-12 	1.0944743313e-12 	1.0553768617e-10 	1.5293561948e-12 	8.3927444910e-10 	5.5752533016e-13 	
18 	 1.9000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000018e+02 	1.4383656935e-01 	8.5616342952e-01 	2.7538327394e-12 	7.4458884677e-13 	1.0288013996e-10 	2.7730773412e-12 	1.0244007120e-09 	9.8474795793e-13 	
19 	 2.0000000000e-05 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999998e+02 	2.7431213546e-01 	7.2568786347e-01 	1.9589406739e-12 	5.3032037677e-13 	8.3652709983e-11 	4.4530560609e-12 	9.8385601287e-10 	1.1563892572e-12 	
19 	 2.0000000000e-05 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000050e+02 	5.9266659060e-02 	9.4073333993e-01 	4.0587434012e-12 	1.0974308816e-12 	1.1274689897e-10 	1.5326727542e-12 	8.8941937044e-10 	6.2345509358e-13 	
19 	 2.0000000000e-05 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000020e+02 	1.4383656935e-01 	8.5616342945e-01 	2.7635891155e-12 	7.4703939155e-13 	1.1001617765e-10 	2.7810752002e-12 	1.0862664143e-09 	1.1018236569e-12 	
